Frame,CenterX,CenterY,dx,dy,Distance,Score
1,2859,1598,-32,-14,34.6967,0.855465
3,2827,1584,-32,-14,34.6967,0.842348
7,2794,1570,-33,-14,35.6529,0.83085
9,2762,1556,-32,-14,34.6967,0.84187
11,2730,1543,-32,-13,34.4039,0.83195
13,2697,1530,-33,-13,35.3601,0.828353
15,2664,1517,-33,-13,35.3601,0.865395
19,2631,1504,-33,-13,35.3601,0.86863
21,2598,1491,-33,-13,35.3601,0.889929
23,2565,1478,-33,-13,35.3601,0.868353
25,2532,1465,-33,-13,35.3601,0.880855
27,2499,1452,-33,-13,35.3601,0.873193
31,2466,1439,-33,-13,35.3601,0.873855
33,2433,1426,-33,-13,35.3601,0.842232
35,2401,1413,-32,-13,34.4039,0.801983
38,2369,1400,-32,-13,34.4039,0.821074
39,2337,1387,-32,-13,34.4039,0.795338
43,2305,1374,-32,-13,34.4039,0.776371
45,2273,1361,-32,-13,34.4039,0.744515
47,2241,1348,-32,-13,34.4039,0.728116
49,2209,1335,-32,-13,34.4039,0.730082
51,2178,1322,-31,-13,33.4477,0.723861
55,2146,1309,-32,-13,34.4039,0.721967
57,2115,1297,-31,-12,33.155,0.743038
59,2084,1285,-31,-12,33.155,0.779308
61,2053,1273,-31,-12,33.155,0.810931
63,2022,1261,-31,-12,33.155,0.834697
67,1991,1249,-31,-12,33.155,0.822721
70,1961,1237,-30,-12,32.1988,0.827008
71,1931,1225,-30,-12,32.1988,0.822527
73,1902,1214,-29,-11,30.9498,0.832873
75,1873,1203,-29,-11,30.9498,0.854046
79,1844,1192,-29,-11,30.9498,0.866165
82,1816,1181,-28,-11,29.9936,0.884777
83,1788,1170,-28,-11,29.9936,0.874565
85,1761,1160,-27,-10,28.7447,0.854558
87,1734,1150,-27,-10,28.7447,0.859404
91,1707,1140,-27,-10,28.7447,0.872817
93,1681,1130,-26,-10,27.7885,0.865589
95,1656,1121,-25,-9,26.5395,0.868677
97,1631,1112,-25,-9,26.5395,0.868668
99,1606,1103,-25,-9,26.5395,0.871731
103,1582,1094,-24,-9,25.5834,0.861535
105,1558,1085,-24,-9,25.5834,0.857323
107,1534,1076,-24,-9,25.5834,0.858139
109,1511,1068,-23,-8,24.3344,0.844758
111,1488,1060,-23,-8,24.3344,0.858601
115,1466,1052,-22,-8,23.3782,0.881414
117,1444,1044,-22,-8,23.3782,0.885611
119,1422,1036,-22,-8,23.3782,0.88059
121,1400,1028,-22,-8,23.3782,0.885494
123,1379,1020,-21,-8,22.422,0.870967
127,1358,1012,-21,-8,22.422,0.883477
129,1338,1005,-20,-7,21.1731,0.869002
131,1318,998,-20,-7,21.1731,0.883105
133,1298,991,-20,-7,21.1731,0.897798
135,1278,984,-20,-7,21.1731,0.90002
139,1259,977,-19,-7,20.2169,0.894226
141,1240,970,-19,-7,20.2169,0.910662
143,1221,963,-19,-7,20.2169,0.885274
145,1203,957,-18,-6,18.9679,0.891048
147,1185,951,-18,-6,18.9679,0.888861
151,1167,944,-18,-7,19.2607,0.89444
153,1150,938,-17,-6,18.0117,0.902273
155,1133,932,-17,-6,18.0117,0.907642
157,1116,926,-17,-6,18.0117,0.917887
159,1099,920,-17,-6,18.0117,0.908344
163,1082,914,-17,-6,18.0117,0.913378
165,1066,908,-16,-6,17.0556,0.917432
167,1050,902,-16,-6,17.0556,0.922825
169,1034,896,-16,-6,17.0556,0.904908
171,1018,891,-16,-5,16.7628,0.901015
175,1003,886,-15,-5,15.8066,0.908386
177,988,881,-15,-5,15.8066,0.87787
179,973,876,-15,-5,15.8066,0.899989
181,958,871,-15,-5,15.8066,0.897141
183,944,866,-14,-5,14.8504,0.8966
187,930,861,-14,-5,14.8504,0.880055
189,916,856,-14,-5,14.8504,0.882346
191,902,851,-14,-5,14.8504,0.880242
193,889,847,-13,-4,13.6015,0.875023
195,876,843,-13,-4,13.6015,0.883252
199,863,839,-13,-4,13.6015,0.88105
201,851,835,-12,-4,12.6453,0.88127
203,839,831,-12,-4,12.6453,0.89535
205,827,827,-12,-4,12.6453,0.891507
207,815,823,-12,-4,12.6453,0.883244
211,803,819,-12,-4,12.6453,0.875218
213,792,816,-11,-3,11.3963,0.876958
215,781,813,-11,-3,11.3963,0.87381
217,770,810,-11,-3,11.3963,0.896959
219,759,807,-11,-3,11.3963,0.893573
223,748,804,-11,-3,11.3963,0.87629
225,737,801,-11,-3,11.3963,0.883836
227,727,798,-10,-3,10.4401,0.888618
229,717,795,-10,-3,10.4401,0.879928
231,707,792,-10,-3,10.4401,0.910304
235,697,789,-10,-3,10.4401,0.926105
237,687,786,-10,-3,10.4401,0.920546
239,677,783,-10,-3,10.4401,0.923391
241,667,780,-10,-3,10.4401,0.931129
243,657,777,-10,-3,10.4401,0.926553
247,648,775,-9,-2,9.19117,0.919355
249,639,773,-9,-2,9.19117,0.916238
251,630,771,-9,-2,9.19117,0.900386
253,621,769,-9,-2,9.19117,0.877705
255,613,767,-8,-2,8.23499,0.864923
259,605,765,-8,-2,8.23499,0.874143
261,597,763,-8,-2,8.23499,0.8734
263,589,761,-8,-2,8.23499,0.869461
265,581,759,-8,-2,8.23499,0.879238
267,573,757,-8,-2,8.23499,0.879153
271,565,755,-8,-2,8.23499,0.859339
273,557,753,-8,-2,8.23499,0.882037
275,549,751,-8,-2,8.23499,0.890902
277,542,749,-7,-2,7.27882,0.897277
279,535,747,-7,-2,7.27882,0.907193
283,528,745,-7,-2,7.27882,0.91579
285,521,743,-7,-2,7.27882,0.910849
287,514,741,-7,-2,7.27882,0.920629
289,507,739,-7,-2,7.27882,0.815813
291,500,737,-7,-2,7.27882,0.921331
295,493,735,-7,-2,7.27882,0.911812
297,486,733,-7,-2,7.27882,0.905678
299,480,731,-6,-2,6.32264,0.918474
301,474,729,-6,-2,6.32264,0.920031
303,468,727,-6,-2,6.32264,0.925638
307,462,725,-6,-2,6.32264,0.926752
309,456,723,-6,-2,6.32264,0.93477
311,450,722,-6,-1,6.02985,0.938692
313,444,720,-6,-2,6.32264,0.943592
315,438,719,-6,-1,6.02985,0.934783
319,432,718,-6,-1,6.02985,0.946411
321,427,717,-5,-1,5.07367,0.942801
323,422,716,-5,-1,5.07367,0.952824
325,417,715,-5,-1,5.07367,0.94319
327,412,714,-5,-1,5.07367,0.947911
331,407,713,-5,-1,5.07367,0.938823
333,402,712,-5,-1,5.07367,0.932411
335,397,711,-5,-1,5.07367,0.923257
337,393,710,-4,-1,4.1175,0.911278
339,389,708,-4,-2,4.41029,0.908546
343,385,706,-4,-2,4.41029,0.917605
345,380,704,-5,-2,5.36646,0.922522
347,375,703,-5,-1,5.07367,0.923913
349,371,701,-4,-2,4.41029,0.935597
351,367,700,-4,-1,4.1175,0.938163
355,363,698,-4,-2,4.41029,0.946525
357,359,697,-4,-1,4.1175,0.936197
359,356,696,-3,-1,3.16132,0.927294
361,352,695,-4,-1,4.1175,0.947041
363,349,694,-3,-1,3.16132,0.943611
367,345,692,-4,-2,4.41029,0.934291
369,342,692,-3,0,2.86853,0.932075
371,339,691,-3,-1,3.16132,0.937683
373,335,690,-4,-1,4.1175,0.930429
375,331,689,-4,-1,4.1175,0.938441
379,328,687,-3,-2,3.45411,0.92265
381,324,686,-4,-1,4.1175,0.943762
383,321,684,-3,-2,3.45411,0.925841
385,318,683,-3,-1,3.16132,0.933123
387,315,682,-3,-1,3.16132,0.920879
391,312,681,-3,-1,3.16132,0.908475
393,309,680,-3,-1,3.16132,0.922786
395,307,679,-2,-1,2.20514,0.897388
397,304,678,-3,-1,3.16132,0.917971
399,302,677,-2,-1,2.20514,0.920964
403,299,676,-3,-1,3.16132,0.842092
405,297,675,-2,-1,2.20514,0.808673
406,294,674,-3,-1,3.16132,0.74979
409,291,673,-3,-1,3.16132,0.847051
411,288,672,-3,-1,3.16132,0.872545
415,285,671,-3,-1,3.16132,0.862947
417,282,670,-3,-1,3.16132,0.813203
419,279,669,-3,-1,3.16132,0.853704
421,276,668,-3,-1,3.16132,0.875153
423,273,667,-3,-1,3.16132,0.892656
427,270,667,-3,0,2.86853,0.904848
429,267,667,-3,0,2.86853,0.897671
431,266,666,-1,-1,1.24897,0.877551
434,264,666,-2,0,1.91235,0.818439
435,261,666,-3,0,2.86853,0.795874
439,258,665,-3,-1,3.16132,0.906499
441,255,664,-3,-1,3.16132,0.900451
443,252,663,-3,-1,3.16132,0.786139
445,250,663,-2,0,1.91235,0.913501
447,247,663,-3,0,2.86853,0.921746
451,245,663,-2,0,1.91235,0.925358
453,242,663,-3,0,2.86853,0.860943
455,239,662,-3,-1,3.16132,0.90493
457,237,662,-2,0,1.91235,0.909753
459,234,662,-3,0,2.86853,0.961786
463,232,662,-2,0,1.91235,0.786977
465,230,661,-2,-1,2.20514,0.743642
467,228,661,-2,0,1.91235,0.90991
469,227,662,-1,1,0.663387,0.55656
471,224,661,-3,-1,3.16132,0.760203
475,222,661,-2,0,1.91235,0.800489
477,221,660,-1,-1,1.24897,0.88159
479,219,659,-2,-1,2.20514,0.922298
481,217,659,-2,0,1.91235,0.916212
483,216,659,-1,0,0.956177,0.895874
487,209,616,-7,-43,19.2832,0.74079
489,207,616,-2,0,1.91235,0.960633
491,205,616,-2,0,1.91235,0.950666
493,203,616,-2,0,1.91235,0.961185
495,201,616,-2,0,1.91235,0.830542
499,199,616,-2,0,1.91235,0.941627
501,198,616,-1,0,0.956177,0.960305
503,196,616,-2,0,1.91235,0.975396
505,194,615,-2,-1,2.20514,0.960306
507,192,615,-2,0,1.91235,0.971859
511,190,615,-2,0,1.91235,0.972358
513,189,615,-1,0,0.956177,0.943869
515,187,615,-2,0,1.91235,0.974804
517,186,615,-1,0,0.956177,0.974516
